4KcVE,n4r1k/3bb1pp/Q1p5/1p1p4/3P4/2P5/1PB3PP/2R2q1K w - - 8 38,c1f1 f8f1,430,87,41,107,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/piVMG0tb#75,
GR0t4,6rk/ppp5/8/4q2p/7P/6N1/PP3QPK/8 b - - 0 42,e5g3 f2g3 g8g3 h2g3,462,90,88,172,crushing endgame short,https://lichess.org/HTCrQLlJ/black#84,
uRaHk,4r1k1/p4p1p/1p3Pp1/2pPr3/P1P5/6P1/6P1/4RRK1 w - - 3 28,d5d6 e5e1 f1e1 e8e1,445,89,76,94,crushing endgame rookEndgame short,https://lichess.org/TqEzOOLE#55,
TPScz,6r1/1R6/8/R1pkNp2/3P3P/4P1p1/2r2PP1/6K1 w - - 0 39,f2f3 c2c1,490,81,100,127,endgame mate mateIn1 oneMove,https://lichess.org/TJGumRxe#77,
MAvy1,7k/6p1/2b1p1Bp/1pp1P2P/p7/P5PK/3q4/5Q2 b - - 11 49,d2g2 f1g2 c6g2 h3g2,495,102,94,238,crushing endgame master short,https://lichess.org/6xwh4IMc/black#98,
JrSu0,1R6/5K2/8/5ppk/8/7P/5r2/8 b - - 1 70,f2h2 b8h8,499,86,94,390,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/GgQ7yThD/black#140,
ulShd,Q1b3k1/5pp1/7p/p1b1r3/7P/P1Nq4/5pP1/3R1K1R w - - 0 23,d1d3 e5e1,494,88,38,73,mate mateIn1 middlegame oneMove,https://lichess.org/NHJvwR2E#45,
IQabA,8/8/r5k1/2P2p1p/3R4/3K4/2P5/8 w - - 1 41,d3c4 a6a4 c4d5 a4d4,421,115,92,1028,crushing endgame rookEndgame short,https://lichess.org/aSAlCVjB#81,
FpHBT,4R3/6pk/2B4p/5P2/Pp6/8/P1Q3PP/q6K w - - 5 41,c2b1 a1b1 e8e1 b1e1,458,106,94,654,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/A1luGgvH#81,
QNbz4,r3k2r/2qn1pp1/p3pBp1/3p4/B1pP4/2P5/PP3PP1/RN1Q1RbK w kq - 2 17,h1g1 c7h2,465,87,100,338,mate mateIn1 middlegame oneMove,https://lichess.org/s1yE4IIf#33,
SKNXF,1r4k1/p4p1p/4pnpP/q1p5/2P5/2QB1P2/PR3P2/1K5R b - - 0 23,a5c3 b2b8 f6e8 b8e8,477,94,79,324,endgame hangingPiece mate mateIn2 short,https://lichess.org/apVip6hR/black#46,
N9BIW,1kQ4r/1p6/1q5p/1N6/pP2p3/2RnP1P1/P4PP1/1KR5 b - - 0 32,h8c8 c3c8,465,91,100,331,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/U4qKxVv2/black#64,
SWWjg,6k1/1b3pp1/1p5p/4r3/8/2P3N1/PPQ3PP/3Rq2K w - - 4 27,d1e1 e5e1 g3f1 e1f1,419,101,100,214,endgame mate mateIn2 short,https://lichess.org/FnU2wGMr#53,
nKczC,r3kbr1/p1pp1p1p/1np2Bp1/4P3/1q5P/2N5/PP1Q1PP1/2KR1R2 b q - 0 15,b6c4 d2d7,496,108,96,232,master mate mateIn1 middlegame oneMove,https://lichess.org/POebxcUd/black#30,Scotch_Game Scotch_Game_Mieses_Variation
c4Da0,6k1/1p3p1p/6p1/r3p3/3bQ3/1q1BnP2/P3R1PP/1KR5 w - - 0 27,a2b3 a5a1,484,89,94,195,mate mateIn1 middlegame oneMove,https://lichess.org/2dzFvXLB#53,
Xss8C,r3r1k1/p1p2ppp/1p3q2/4b3/1P6/P5P1/2P1QPKP/1RB1R3 b - - 3 19,e5c3 e2e8 a8e8 e1e8,417,93,100,435,backRankMate mate mateIn2 middlegame short,https://lichess.org/xVjjxdAb/black#38,
kYUOP,3R4/5ppk/p1q3r1/1p5p/P1p5/4B2P/2Q2PP1/6K1 w - - 1 27,a4b5 c6g2,478,100,100,349,endgame mate mateIn1 oneMove,https://lichess.org/jYvUMPdK#53,
ZzXZo,r4rk1/pb1Q1ppp/4p3/n3q1Pn/1p2P2P/1PP2P1N/1K2N1B1/3R3R b - - 2 19,f8d8 d7d8 a8d8 d1d8,487,86,100,898,backRankMate mate mateIn2 middlegame short,https://lichess.org/buzNSWPp/black#38,Sicilian_Defense Sicilian_Defense_Closed
gw5Co,3Q3k/p5pp/5p2/8/2r5/q6P/P4PP1/3R2K1 b - - 0 32,a3f8 d8f8,447,86,75,61,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/FOEMhuYb/black#64,
IOG3k,6k1/ppr3p1/5n2/5pN1/P7/8/1P4PP/3R3K b - - 1 31,c7c2 d1d8 f6e8 d8e8,400,91,100,310,endgame mate mateIn2 short,https://lichess.org/5dbCGyBT/black#62,
KzM5c,r5k1/1R3pp1/7p/2B1P3/5n2/3P1P1P/5P2/5K2 w - - 3 33,d3d4 a8a1 b7b1 a1b1,469,85,74,214,endgame mate mateIn2 short,https://lichess.org/SYZWnMJO#65,
9hHkx,8/6pp/p3rpk1/3R4/Pb1P4/8/3N1PPP/5K2 w - - 2 36,d2c4 e6e1,434,90,95,351,endgame mate mateIn1 oneMove,https://lichess.org/k0AZcNnt#71,
mQcGF,6rk/pp3prn/2pbp2N/8/3P3R/2P4Q/PP3P1P/4R1qK w - - 6 29,e1g1 g7g1,406,89,79,198,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mBmADcoQ#57,
V8biT,2bq1rk1/r1ppbppp/2p5/8/4Q3/3B4/PPP2PPP/RN2K2R b KQ - 1 10,d7d5 e4h7,400,113,97,405,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Ax87xJ1W/black#20,Scotch_Game Scotch_Game_Schmidt_Variation
uIhsw,2r3k1/4rppp/p7/8/8/1P1R3P/P1R3P1/5K2 b - - 0 38,c8c2 d3d8 e7e8 d8e8,442,100,60,75,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/8jnW9oe7/black#76,
G10ak,2r2rk1/1p1bbpp1/pq1pp2p/4P3/3n1PnP/P1NQ3N/6P1/BBRK3R b - - 2 22,d4b3 d3h7,441,90,100,353,mate mateIn1 middlegame oneMove,https://lichess.org/rmX6uzJf/black#44,
pAcOq,4r1k1/p4ppp/1p6/2p5/4qN2/PP4P1/3Q1P1P/2R3K1 w - - 0 31,c1e1 e4e1 d2e1 e8e1,483,84,100,148,advantage endgame short,https://lichess.org/qMMW0Bk2#61,
2p7GM,8/2rB1pp1/3R3p/4p1k1/8/8/3p1PPP/6K1 w - - 0 33,d6d2 c7c1 d2d1 c1d1,406,86,100,112,backRankMate endgame mate mateIn2 short,https://lichess.org/CKaMZeNR#65,
OpQcZ,2R5/8/5K1k/1p3P2/8/8/7p/6r1 b - - 13 50,h2h1q c8h8,447,93,100,396,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/ufbRPwhH/black#100,
EpQ6k,rn2k2r/pp3ppp/2q1p3/3pPn2/3P4/2R2N2/2P2PPP/1N1Q1RK1 b kq - 2 14,c6b6 c3c8 b6d8 c8d8,444,88,67,76,advantage middlegame short,https://lichess.org/AizuHg4N/black#28,Sicilian_Defense Sicilian_Defense_Wing_Gambit
hOxb0,8/7p/5p1k/6pP/5nPN/6P1/3r4/7K b - - 2 38,f4e6 h4f5,488,95,91,213,endgame mate mateIn1 oneMove,https://lichess.org/Ext677gT/black#76,
zEf1r,7b/1ppkp2p/6p1/2N1p2b/2P5/1P6/rP4KP/5R2 b - - 4 27,d7c8 f1f8,401,92,87,138,endgame mate mateIn1 oneMove,https://lichess.org/0VUmFK6O/black#54,
etAyG,2r1Q2k/6pp/7q/5p1B/1P3P2/6PK/4Q3/8 b - - 0 38,c8e8 e2e8,485,99,96,484,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/575tVM0Q/black#76,
xf9xb,5r1k/1R3Bp1/p1Np3p/8/4P1b1/3P2b1/P1P3P1/7K w - - 1 24,f7g6 f8f1,400,93,100,287,endgame mate mateIn1 oneMove,https://lichess.org/mIZCY1jr#47,
ym3Rx,3r4/pp1r1pkp/4pnp1/2p5/3PP3/5PP1/PPBR3P/3R2K1 w - - 0 26,d4c5 d7d2 d1d2 d8d2,473,108,86,284,crushing endgame short,https://lichess.org/9eIhsMz3#51,
O6hrL,6k1/6p1/p1R1P3/8/4r2p/PP2r3/6PP/2R4K w - - 2 35,c6a6 e3e1 c1e1 e4e1,494,97,91,1151,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/H3cKa3Bq#69,
